GENE_ID	COMMON	TCGA-PK-A5H9-01	TCGA-OR-A5J3-01	TCGA-OR-A5JJ-01	TCGA-OR-A5KU-01	TCGA-OR-A5L6-01	TCGA-OU-A5PI-01	TCGA-OR-A5J7-01	TCGA-OR-A5JF-01	TCGA-OR-A5KY-01	TCGA-PK-A5HA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JV-01	TCGA-OR-A5LA-01	TCGA-OR-A5JR-01	TCGA-OR-A5K3-01	TCGA-OR-A5LE-01	TCGA-OR-A5JZ-01	TCGA-OR-A5JG-01	TCGA-OR-A5LP-01	TCGA-OR-A5JK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LH-01	TCGA-OR-A5JC-01	TCGA-OR-A5J8-01	TCGA-OR-A5KT-01	TCGA-OR-A5L5-01	TCGA-PK-A5HB-01	TCGA-OR-A5KX-01	TCGA-OR-A5L9-01	TCGA-OR-A5JS-01	TCGA-OR-A5K4-01	TCGA-OR-A5LD-01	TCGA-OR-A5JO-01	TCGA-OR-A5K0-01	TCGA-OR-A5LT-01	TCGA-OR-A5JW-01	TCGA-OR-A5K8-01	TCGA-OR-A5KW-01	TCGA-OR-A5L8-01	TCGA-OR-A5J5-01	TCGA-OR-A5LO-01	TCGA-OR-A5J1-01	TCGA-OR-A5JL-01	TCGA-OR-A5LK-01	TCGA-OR-A5J9-01	TCGA-OR-A5JD-01	TCGA-OR-A5LG-01	TCGA-OR-A5L4-01	TCGA-OR-A5JT-01	TCGA-OR-A5K5-01	TCGA-OR-A5LC-01	TCGA-OR-A5KO-01	TCGA-OR-A5LS-01	TCGA-OR-A5JP-01	TCGA-OR-A5K1-01	TCGA-OR-A5JX-01	TCGA-OR-A5K9-01	TCGA-OR-A5JI-01	TCGA-OR-A5KV-01	TCGA-OR-A5LN-01	TCGA-OR-A5J6-01	TCGA-OR-A5J2-01	TCGA-OR-A5JM-01	TCGA-OR-A5LJ-01	TCGA-OR-A5JE-01	TCGA-OR-A5L3-01	TCGA-OR-A5JA-01	TCGA-OR-A5KZ-01	TCGA-PA-A5YG-01	TCGA-OR-A5K6-01	TCGA-OR-A5LB-01	TCGA-OR-A5JQ-01	TCGA-OR-A5K2-01	TCGA-OR-A5JY-01	TCGA-OR-A5LR-01	
1058	CENPA	-0.7319	-0.4578	0.3904	-0.6581	0.0719	-0.6017	4.0996	-0.6750	1.5031	-0.6805	2.9160	-0.6184	-0.7407	-0.4906	-0.3068	0.9110	-0.4504	0.3544	-0.7120	-0.5132	-0.7303	-0.7487	-0.0426	1.1065	-0.1129	-0.7354	2.4701	-0.6215	-0.7893	0.5297	-0.3345	0.4908	-0.5346	0.0746	-0.4628	-0.7219	-0.1047	0.2060	-0.6974	0.7572	-0.0829	-0.6839	-0.1811	-0.6778	-0.7073	-0.6695	-0.4798	-0.3224	-0.5606	0.2387	3.5646	1.8993	-0.2021	1.2053	-0.0898	-0.7039	0.3589	-0.6270	-0.6159	-0.7132	-0.7342	-0.2814	3.9440	0.9558	1.3762	-0.7159	1.1241	3.6454	-0.7183	-0.2577	-0.4108	-0.5578	-0.0597	1.4509	-0.7159	
64105	CENPK	-0.9329	-0.7370	1.3942	-0.5072	1.8154	-0.2098	0.4238	-0.4711	1.1016	-0.5938	1.4269	-0.4021	-0.7914	0.0015	0.1990	0.6384	-0.2788	0.5723	-0.5426	-0.1723	-0.9466	-0.5613	1.3589	0.6980	-0.8119	-0.4371	-0.0197	-0.1352	-0.5713	0.8263	1.3265	0.0517	-0.8868	-0.4233	1.3972	-0.4602	0.5961	0.0436	-0.7645	0.1311	-0.0332	-0.8368	-0.0835	-0.2857	-0.2250	-0.4599	-0.7259	0.2940	-0.1573	-0.1739	1.2412	4.0554	0.4075	-0.2327	0.5790	-0.9152	0.1516	-0.4915	-0.7453	-0.7026	-0.9562	-0.0605	2.0857	0.9009	0.2482	-0.9846	0.8248	2.8194	-0.4168	-0.7360	-0.6055	0.6592	-0.1231	6.8492	-0.2185	
91687	CENPL	-0.3725	-0.4431	0.2485	-0.4796	-0.4544	-0.7033	2.7741	-0.1919	2.4957	-0.7430	2.2425	-0.2279	-1.1217	-0.5051	-0.6412	-0.4290	-0.5923	0.8942	-0.4178	0.1469	-0.6473	-0.7069	-0.3265	0.0889	-0.7388	-1.1316	3.2926	0.1684	-0.3850	1.7056	-0.4654	1.0068	-0.7984	-1.0079	-0.1212	-0.2884	-0.4370	0.0759	-0.2970	0.8384	0.4225	-1.1077	-0.1461	-0.9087	0.0532	-0.8191	-0.4500	-0.4555	-0.6148	0.0594	-0.0278	1.3419	1.7106	-0.2226	-0.6826	-0.9767	3.4089	-0.4916	-0.7819	-0.5042	-0.9843	0.3833	1.7916	0.1858	0.6357	-0.6345	1.4243	2.1309	-0.2633	-0.4843	-0.3198	-0.6250	0.2963	0.1296	-0.9071	
79019	CENPM	-0.9579	-0.7804	3.2130	-0.8058	0.4456	-0.7975	1.1746	-0.8426	3.1065	-0.8599	4.8981	-0.8695	-0.8881	-0.7014	-0.0310	1.1844	-0.2158	0.4554	-0.9351	-0.2469	-1.0456	-0.8707	-0.3012	0.8032	0.3437	-0.8762	1.1322	-0.7024	-0.7313	1.1285	1.1210	0.6768	-0.6087	-0.0309	-0.1267	-0.9851	0.2373	-0.2359	-0.9096	2.7333	-0.6547	-0.8952	-0.1297	-0.7515	-0.6771	-0.6993	-0.0543	-0.2090	-0.3545	0.1062	2.9360	0.5672	-0.7517	0.0001	0.8836	-1.0464	0.6769	-0.9428	-0.7963	-0.8431	-1.0494	-0.3938	3.0958	0.3003	2.3181	-0.7365	1.4510	2.9340	-0.8671	-0.3577	-0.8812	0.0070	1.4833	0.6593	-0.7053	
55839	CENPN	-0.2211	-0.1684	0.8601	-0.4910	0.6878	0.6575	0.7623	-0.0603	2.1288	-0.8050	-0.2193	-0.5931	-0.5103	-0.3473	-0.1152	0.5210	-0.2289	1.4858	-0.3981	-0.1360	-0.9118	-0.6561	0.4698	0.5797	-0.2623	-0.4952	1.1485	3.4835	0.2438	-0.3146	0.3099	0.3772	-0.7349	-0.7328	-0.5199	-0.3341	0.8684	0.7085	-0.5477	2.8394	-0.1320	-0.6650	-0.3627	-0.7960	0.3072	-0.5568	-0.3893	0.1194	-0.2747	0.2521	0.3039	0.8771	0.2501	1.1946	-0.1994	-0.4081	0.5372	-0.4780	-0.7453	-0.6846	-0.7138	-0.5813	1.8840	-0.0738	0.5121	-0.7848	1.7816	1.6448	-0.4939	-0.7043	-0.7553	-0.3533	0.3960	0.2529	-0.3607	
79682	CENPU	-1.1092	-0.7632	0.7062	-0.6351	0.7007	-0.4231	4.8936	-0.7176	2.9462	-0.6690	1.2100	-0.5478	-0.8803	0.5522	-0.6662	-0.2813	0.0222	1.3416	-0.8941	-0.5597	-0.8924	-0.6464	0.8004	1.0021	-0.2405	-0.9209	-0.1976	-0.4850	-0.4642	-0.3823	2.4623	2.7011	-0.7277	0.1208	1.5207	-0.5296	1.3575	0.1651	-0.8840	3.3840	-0.1715	-0.4013	0.7295	-0.1554	0.2186	-0.4159	-0.1481	-0.2772	0.6649	0.1828	2.4293	4.0245	-0.4482	-0.0774	-0.0843	-0.8626	1.9102	-0.4715	-0.6647	-0.2532	-1.1065	-0.3094	3.8582	0.5266	1.1420	-0.9722	1.4836	3.7208	-0.7757	-0.2587	-0.9361	1.2895	0.7290	-0.3161	-0.6874	
387103	CENPW	-1.0148	-0.8070	0.5525	-0.8972	2.0312	-0.8216	1.2634	-0.8141	3.0749	-0.4426	2.0285	-0.6577	-0.4243	-0.4416	-0.4459	2.1166	-0.6556	0.4524	0.1964	-0.4126	-1.0354	-0.8799	1.6368	2.1795	-0.5731	-0.1745	1.1465	1.8526	-0.3946	0.0556	0.1246	3.3649	-0.0347	-0.0940	-0.3511	-0.9253	0.0645	-0.2796	-0.9661	1.6582	-0.2652	-0.5352	0.4586	0.9471	-0.2168	-0.5673	-0.5774	0.4402	-0.5950	0.1602	0.7442	3.1426	-0.4830	0.8258	-0.0997	-0.4331	0.2259	0.1276	-0.6554	0.2285	-0.9397	-0.7613	0.9627	0.2651	1.3931	-0.9354	3.3482	3.6191	-0.0981	-0.5267	-0.6700	-0.2831	1.1879	-0.2397	-0.6684	
55355	HJURP	-0.7014	-0.6281	0.1848	-0.6230	0.8796	-0.5885	2.8713	-0.6906	2.0203	-0.6556	4.0343	-0.6328	-0.7233	-0.5367	-0.5772	0.6588	-0.4095	0.3254	-0.6808	-0.5260	-0.7196	-0.7097	0.0451	0.3829	-0.2777	-0.6924	1.6352	-0.2924	-0.5601	0.6094	-0.1426	2.1238	-0.5071	-0.3977	-0.2013	-0.6523	-0.3094	-0.3295	-0.6609	0.8618	-0.3793	-0.6711	-0.3111	-0.5310	-0.5737	-0.6910	0.0078	-0.3796	-0.5347	-0.1076	1.4074	0.6630	-0.4616	0.3995	-0.4430	-0.7423	1.5646	-0.6328	-0.6638	-0.5908	-0.7214	-0.3735	1.5437	0.2926	1.1628	-0.7214	0.7432	2.7812	-0.6865	-0.4134	-0.5688	-0.5209	-0.0891	-0.1895	-0.6276	
10403	NDC80	-0.7394	-0.6599	1.1175	-0.4107	1.0501	-0.6357	3.0895	-0.7572	3.1701	-0.7222	1.6695	-0.5660	-0.7650	-0.5416	-0.5026	2.2885	-0.1322	0.4970	-0.7021	0.3540	-0.8004	-0.7765	-0.2830	1.7156	-0.3575	-0.7869	0.6978	-0.1258	-0.0202	0.0865	0.1637	3.0517	-0.3454	0.5332	-0.0345	-0.7053	-0.3473	-0.0793	-0.6944	0.9215	-0.2763	-0.4732	-0.2137	-0.7033	-0.4771	-0.7493	0.3076	-0.3273	-0.6489	-0.2331	1.4371	1.7324	-0.3283	0.1699	0.0220	-0.8283	2.0381	-0.6025	-0.5588	-0.7830	-0.7853	-0.4032	2.5533	0.4477	1.8138	-0.7854	0.3460	3.7689	-0.7434	-0.2890	-0.5282	-0.5030	0.1362	1.1047	-0.6264	
83540	NUF2	-0.8129	-0.6181	0.6228	-0.7306	0.7339	-0.7059	1.2574	-0.7529	1.4054	-0.7089	2.4404	-0.5825	-0.7696	-0.5874	-0.4501	3.9898	-0.5320	0.3652	-0.8015	-0.3766	-0.8424	-0.8138	-0.0264	0.6140	-0.5895	-0.7271	1.9233	1.0392	-0.8545	0.2833	0.0699	1.4022	-0.5951	0.3713	-0.1639	-0.7775	-0.3535	-0.0737	-0.7587	1.0760	-0.3886	-0.5369	-0.4637	-0.7189	-0.3799	-0.7927	-0.2170	-0.0355	-0.4722	0.1306	2.2629	1.1009	-0.3474	0.5124	-0.2496	-0.8063	1.0233	-0.6666	-0.7179	-0.6421	-0.7857	-0.2834	2.4213	0.0623	0.3791	-0.8140	1.5976	3.4990	-0.7929	-0.5143	-0.7097	-0.4772	0.4063	1.0560	-0.7252	
