,gene,correlation,pvalue
0,ATM_brac,-0.1748425491621929,6.422893882807748e-05
1,ATR_brac,0.16955357653032072,0.00010706337210439821
2,BAP1_brac,-0.17023864376660022,0.00010029187760438076
3,BLM_brac,0.7962713897894501,1.6824983238093954e-114
4,BRCA1_brac,0.7906414032094388,8.441985723701889e-112
5,BRCA2_brac,0.6375455192735301,2.527325541483876e-60
6,BRIP1_brac,0.7343660258059069,1.0255942152624243e-88
7,CDK12_brac,0.254373045812927,4.447852000843719e-09
8,CHEK1_brac,0.8480181505911343,4.030111215034379e-144
9,CHEK2_brac,0.6593193372015738,8.651463275085907e-66
10,FANCA_brac,0.6615894636676427,2.1919113725650879e-66
11,FANCC_brac,0.43023938428527897,1.0400183919295755e-24
12,FANCD2_brac,0.7664275892875595,4.5341137214948434e-101
13,FANCE_brac,0.25856021988843847,2.422889444810723e-09
14,FANCF_brac,0.21781738867673456,5.708353698530082e-07
15,MRE11_brac,0.27261238567522583,2.9131163008908634e-10
16,NBN_brac,0.36946738084788544,3.629491432133858e-18
17,PALB2_brac,0.30910105851313624,6.575664436086879e-13
18,RAD51B_brac,0.08618860698599698,0.05015643667540177
19,RAD51C_brac,0.5016250048412344,2.6810190387319965e-34
20,RAD51D_brac,0.28269622109305437,5.898684542956274e-11
21,TP53_brac,-0.11823362590309644,0.007117597992414852
22,WRN_brac,0.15700188386977104,0.00033907560360497084
23,brac,0.611738035290732,2.1668908764305417e-54
