,gene,correlation,pvalue
0,ADIPOQ_infl,0.03362620914451687,0.4454958673876237
1,AXL_infl,-0.16735161811856517,0.00013185767077181156
2,CCL1_infl,0.05521806387216769,0.21004358881591614
3,CCL13_infl,-0.2166300006478136,6.595773265202705e-07
4,CCL16_infl,-0.3425471371720336,1.114287930998915e-15
5,CCL2_infl,0.025101995908527325,0.5690384351063715
6,CCL20_infl,0.10516785059090848,0.016751503013314052
7,CCL25_infl,0.15650077676364557,0.0003544317322782975
8,CCL27_infl,0.024877983366504177,0.5724923851348651
9,CCL5_infl,0.11889802562736752,0.006799192498166427
10,CCL8_infl,0.3137744278268771,2.8259345963666255e-13
11,COX2_infl,,
12,CXCL11_infl,0.2783958155061569,1.1749252137149046e-10
13,CXCL13_infl,0.07971033874052182,0.07015325207013413
14,CXCL5_infl,0.13325491257208227,0.0023964536241908047
15,CXCL6_infl,0.12210993577981474,0.005432854282873436
16,EGF_infl,0.05348456973723452,0.22473318722813806
17,FAS_infl,-0.1366103439334513,0.0018501722912262011
18,FGF7_infl,-0.19510539475903158,7.876600866935359e-06
19,GDNF_infl,0.023429962259403768,0.5950547579821321
20,HGF_infl,-0.3186684303523271,1.1483746754832672e-13
21,IFNAR2_infl,-0.15037377803335247,0.0006027080705908498
22,IGFBP4_infl,-0.3171778807602657,1.5134012135782058e-13
23,IGFBP7_infl,-0.2591667797011686,2.216803853949797e-09
24,IL11_infl,0.29676203898908965,5.694861568301648e-12
25,IL13_infl,-0.02545945657523678,0.5635475501395859
26,IL15_infl,0.14672778576786494,0.0008189911429674349
27,IL1A_infl,0.11392275190366477,0.009527867627251786
28,IL6_infl,0.20002078908560847,4.575003295817416e-06
29,IL7_infl,-0.14227775781462076,0.001179690714477536
30,LIF_infl,-0.00555061638683608,0.899808415855421
31,MIF_infl,0.37323850708313844,1.556779495865467e-18
32,MMP12_infl,0.41203872153896887,1.3172560403897813e-22
33,MMP13_infl,-0.03703679260332273,0.4006959059947034
34,MMP14_infl,0.23434692138304208,7.012709810852458e-08
35,MMP2_infl,-0.15271823807202334,0.0004930449178598042
36,NAP1L4_infl,0.18804943668872418,1.6781340016153614e-05
37,NGF_infl,-0.009791756969458026,0.8242299582434685
38,PF4_infl,0.0347368104201269,0.4306037200975964
39,PIGF_infl,0.12198477933262693,0.0054810813974644325
40,PLAT_infl,-0.13784666060767,0.001679523124209275
41,PLAU_infl,0.23809798797428677,4.260958966522185e-08
42,PLAUR_infl,0.14041168989214511,0.0013705979321798948
43,SERPINB2_infl,-0.07468064260003915,0.08982521899568673
44,SERPINE1_infl,0.1641276599218212,0.0001780444559162769
45,SMAD3_infl,-0.01689690680289394,0.7015024504022298
46,TIMP1_infl,0.019390815531340026,0.6600273323361687
47,TNFRSF10C_infl,-0.3961176165530445,7.182055629467233e-21
48,TNFRSF18_infl,0.14128945128450324,0.0012775131811254483
49,VEGFA_infl,0.12376513786706758,0.004830015405609267
50,infl,0.10416104750592628,0.017831888573403547
51,new_infl,0.563170076777202,1.3503263814826156e-44
