,gene,correlation,pvalue
0,ADAR_cgas,0.35862190124465665,8.860212514224945e-07
1,AIM2_cgas,0.3825299213213514,1.3684504854632526e-07
2,CASP1_cgas,0.005672829682314613,0.9400934802098484
3,CCL4_cgas,0.12468824668868866,0.09725560700655793
4,CCL5_cgas,0.12436091804412483,0.09814396343318015
5,CGAS_cgas,0.07209924020020475,0.3388741267810155
6,CXCL10_cgas,0.09844133003670139,0.19111229286883877
7,DDX58_cgas,0.07477242343794867,0.3212220833138367
8,IFNA2_cgas,0.005310577306390286,0.943912490324241
9,IFNB1_cgas,0.02007216374278568,0.7902883707001207
10,IKBKE_cgas,0.3367845797975986,4.2941899798707106e-06
11,IKBKG_cgas,0.1690578276655707,0.02407784789174148
12,IL18_cgas,0.01310952908262191,0.8621184045787379
13,IL1B_cgas,0.2279005511171677,0.0022169499400865947
14,IL33_cgas,0.06863002484078565,0.36268454698349484
15,IL6_cgas,0.15914186286433515,0.03385454808421984
16,IRF3_cgas,0.10875550260522608,0.14844479764885943
17,IRF7_cgas,-0.050332907418814674,0.5046336925260173
18,MAVS_cgas,0.14507844579284393,0.053336535630042314
19,NFKB1_cgas,0.08649782848309522,0.25094889611014254
20,NFKBIB_cgas,0.09687405517741857,0.1983093866772687
21,POLR3A_cgas,0.1509727750239826,0.04426399369005165
22,PYCARD_cgas,0.08224249709256119,0.27510953325628507
23,RELA_cgas,0.04076199503515453,0.5890411829106625
24,RIPK1_cgas,0.09744020659887401,0.1956872220166228
25,RIPK3_cgas,0.032937506639159106,0.6625003815865438
26,SPTB_cgas,0.046566273125986386,0.537083354779047
27,TBK1_cgas,0.10188266929700836,0.17598158202884878
28,TMEM173_cgas,0.26750397749470584,0.0003064150577723304
29,TREX1_cgas,0.12642226161514283,0.09265538343940097
30,ZBP1_cgas,0.24631642874178136,0.0009186173335568954
31,cgas,0.41204449605804383,1.0999680948171437e-08
