,gene,correlation,pvalue
0,ADIPOQ_infl,0.041396067632101435,0.583254837290494
1,AXL_infl,0.05191798786479162,0.49129117123778476
2,CCL1_infl,0.11417606770007271,0.1291320016210249
3,CCL13_infl,0.11417606770007271,0.1291320016210249
4,CCL16_infl,0.12506551502450974,0.09623963546790176
5,CCL2_infl,0.11417606770007271,0.1291320016210249
6,CCL20_infl,0.3242657967799349,1.0069631352348946e-05
7,CCL25_infl,0.21131098023936043,0.00463415183300827
8,CCL27_infl,0.08615780441944626,0.2528236862279164
9,CCL5_infl,0.12436091804412483,0.09814396343318015
10,CCL8_infl,0.11417606770007271,0.1291320016210249
11,COX2_infl,,
12,CXCL11_infl,0.09844133003670139,0.19111229286883877
13,CXCL13_infl,0.12734850054028138,0.09027007290912678
14,CXCL5_infl,0.12408422916452529,0.09889988688276699
15,CXCL6_infl,0.14182564835665676,0.05897010840464888
16,EGF_infl,0.11026267184804975,0.14286780165422067
17,FAS_infl,0.15862862914456224,0.034441121266299606
18,FGF7_infl,0.08352774510105296,0.26765191093817264
19,GDNF_infl,-0.17945053316604215,0.016539379904797154
20,HGF_infl,0.17932165023069924,0.016618525970066928
21,IFNAR2_infl,0.1571309649176307,0.03620223143320674
22,IGFBP4_infl,0.08014852143351295,0.28755845922524503
23,IGFBP7_infl,0.09348925672903462,0.21451892578368098
24,IL11_infl,0.07411705617164746,0.3254936210452204
25,IL13_infl,0.3142039123329046,1.944728829158398e-05
26,IL15_infl,0.09773519657350001,0.19433098495710052
27,IL1A_infl,0.23134216146907977,0.0018899417214941108
28,IL6_infl,0.15914186286433515,0.03385454808421984
29,IL7_infl,0.14298357051783997,0.05691100867263167
30,LIF_infl,0.2180250926687691,0.0034603333788729668
31,MIF_infl,0.21812526544694316,0.0034450636770381768
32,MMP12_infl,-0.026108315872520476,0.7293928450966625
33,MMP13_infl,-0.026108315872520476,0.7293928450966625
34,MMP14_infl,0.015700962492355246,0.8352180609009212
35,MMP2_infl,0.21307236220087464,0.004295855024531158
36,NAP1L4_infl,-0.0645962683936491,0.39164106927444
37,NGF_infl,0.08920676006275308,0.2363560740011323
38,PF4_infl,0.12408422916452529,0.09889988688276699
39,PIGF_infl,0.26937177687132235,0.0002769143816956341
40,PLAT_infl,0.12068850280839484,0.10855709199971077
41,PLAU_infl,0.1387738704337139,0.06469220072661529
42,PLAUR_infl,0.08481185488281709,0.2603396782377853
43,SERPINB2_infl,0.0486416184863898,0.5190763438653372
44,SERPINE1_infl,0.10770450220378748,0.15243032865335324
45,SMAD3_infl,0.013336483085093404,0.8597556956192363
46,TIMP1_infl,0.11342313928911789,0.13169252278576973
47,TNFRSF10C_infl,0.026307240331072405,0.7274121981378523
48,TNFRSF18_infl,-0.029016825688004094,0.7006180712027388
49,VEGFA_infl,0.134574154441938,0.07330140282888647
50,infl,0.38654982190601567,9.847569472107863e-08
