GENE_ID	COMMON	TCGA-XD-AAUG-01	TCGA-HZ-7926-01	TCGA-2J-AABT-01	TCGA-2J-AAB9-01	TCGA-IB-AAUO-01	TCGA-US-A77J-01	TCGA-FB-AAPQ-01	TCGA-FB-AAQ2-01	TCGA-IB-7889-01	TCGA-F2-A44G-01	TCGA-HZ-8636-01	TCGA-HV-A5A4-01	TCGA-HZ-A77Q-01	TCGA-IB-A5ST-01	TCGA-HZ-8315-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-HV-A7OL-01	TCGA-IB-7651-01	TCGA-HZ-A8P0-01	TCGA-IB-A7LX-01	TCGA-3A-A9IL-01	TCGA-HZ-8005-01	TCGA-FB-A78T-01	TCGA-HZ-A4BK-01	TCGA-3E-AAAZ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUU-01	TCGA-IB-7645-01	TCGA-US-A77E-01	TCGA-3A-A9I9-01	TCGA-HV-AA8X-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-AAPY-01	TCGA-XN-A8T5-01	TCGA-IB-A5SQ-01	TCGA-2J-AABO-01	TCGA-LB-A7SX-01	TCGA-HZ-8002-01	TCGA-LB-A9Q5-01	TCGA-2J-AABR-01	TCGA-US-A779-01	TCGA-HZ-A49H-01	TCGA-3A-A9IZ-01	TCGA-Z5-AAPL-01	TCGA-L1-A7W4-01	TCGA-IB-AAUM-01	TCGA-HZ-7918-01	TCGA-HZ-A4BH-01	TCGA-IB-8126-01	TCGA-IB-7887-01	TCGA-HZ-8638-01	TCGA-HV-A5A6-01	TCGA-RB-AA9M-01	TCGA-3A-A9IR-01	TCGA-XD-AAUL-01	TCGA-HZ-7924-01	TCGA-IB-7890-01	TCGA-3A-A9IJ-01	TCGA-F2-A8YN-01	TCGA-HZ-8519-01	TCGA-2J-AABU-01	TCGA-2L-AAQM-01	TCGA-FB-A4P6-01	TCGA-2L-AAQE-01	TCGA-FB-AAPP-01	TCGA-FB-AAQ1-01	TCGA-IB-AAUP-01	TCGA-IB-7647-01	TCGA-IB-A5SS-01	TCGA-FB-AAPS-01	TCGA-US-A77G-01	TCGA-IB-A6UG-01	TCGA-3A-A9I7-01	TCGA-HV-AA8V-01	TCGA-HV-A5A3-01	TCGA-US-A774-01	TCGA-IB-7893-01	TCGA-LB-A8F3-01	TCGA-Q3-AA2A-01	TCGA-XN-A8T3-01	TCGA-3A-A9IO-01	TCGA-3A-A9J0-01	TCGA-2J-AABE-01	TCGA-XD-AAUI-01	TCGA-HZ-A77P-01	TCGA-3A-A9IX-01	TCGA-Q3-A5QY-01	TCGA-2L-AAQJ-01	TCGA-2J-AABP-01	TCGA-3E-AAAY-01	TCGA-IB-AAUV-01	TCGA-IB-AAUS-01	TCGA-IB-7644-01	TCGA-H8-A6C1-01	TCGA-YB-A89D-01	TCGA-PZ-A5RE-01	TCGA-3A-A9IH-01	TCGA-IB-A5SP-01	TCGA-HZ-7922-01	TCGA-IB-A6UF-01	TCGA-2J-AABH-01	TCGA-OE-A75W-01	TCGA-3A-A9IB-01	TCGA-HZ-8001-01	TCGA-3A-A9IU-01	TCGA-F2-7273-01	TCGA-HZ-A49G-01	TCGA-2J-AAB8-01	TCGA-US-A776-01	TCGA-IB-AAUN-01	TCGA-HV-A7OP-01	TCGA-F2-A44H-01	TCGA-IB-7888-01	TCGA-HZ-7919-01	TCGA-IB-7885-01	TCGA-HZ-7289-01	TCGA-FB-AAPU-01	TCGA-FB-AAQ6-01	TCGA-RB-A7B8-01	TCGA-3A-A9I5-01	TCGA-HZ-8637-01	TCGA-IB-7649-01	TCGA-S4-A8RO-01	TCGA-HV-A5A5-01	TCGA-IB-7652-01	TCGA-RL-AAAS-01	TCGA-HZ-7925-01	TCGA-2J-AABK-01	TCGA-IB-A7M4-01	TCGA-YY-A8LH-01	TCGA-IB-7891-01	TCGA-HZ-A8P1-01	TCGA-IB-7897-01	TCGA-2L-AAQL-01	TCGA-3A-A9IC-01	TCGA-3A-A9IV-01	TCGA-FB-A4P5-01	TCGA-2J-AABV-01	TCGA-FB-AAQ0-01	TCGA-FB-A7DR-01	TCGA-IB-AAUQ-01	TCGA-IB-7646-01	TCGA-IB-AAUT-01	TCGA-2J-AAB4-01	TCGA-FB-AAQ3-01	TCGA-S4-A8RP-01	TCGA-H6-8124-01	TCGA-FB-AAPZ-01	TCGA-HZ-A9TJ-06	TCGA-HZ-7920-01	TCGA-H6-A45N-01	TCGA-YH-A8SY-01	TCGA-HZ-8317-01	TCGA-3A-A9IN-01	TCGA-2J-AABF-01	TCGA-XD-AAUH-01	TCGA-HZ-A77O-01	TCGA-HZ-A9TJ-01	TCGA-HZ-8003-01	TCGA-2L-AAQI-01	TCGA-HZ-A49I-01	TCGA-2J-AAB6-01	TCGA-M8-A5N4-01	TCGA-IB-AAUW-01	TCGA-2L-AAQA-01	TCGA-IB-8127-01	TCGA-IB-7886-01	TCGA-S4-A8RM-01	TCGA-2J-AAB1-01	TCGA-F2-7276-01	TCGA-IB-A5SO-01	TCGA-F2-A7TX-01	TCGA-HZ-7923-01	TCGA-IB-7654-01	TCGA-3A-A9IS-01	TCGA-2J-AABA-01	TCGA-2J-AABI-01	
1058	CENPA	-1.2170	-0.0467	-0.9405	-0.4985	0.5836	-0.1959	-0.6695	2.9770	-0.7040	0.5469	-0.0758	-0.4721	-0.6178	-0.4954	-0.7205	1.7065	-1.4271	0.6673	-0.1423	-0.0090	1.0724	-1.2723	0.9009	-0.5026	-0.3345	0.0518	-0.8562	0.4282	-0.5588	-0.3503	-0.4201	0.6471	2.4243	3.7186	-0.1996	-1.0432	0.5003	-0.3056	2.1078	-0.5717	-0.2907	-0.7814	0.2742	-0.9470	1.5296	0.4338	2.9864	-1.1245	-0.2913	0.2577	-1.0918	-0.6021	0.6670	1.0586	-0.0636	-1.3889	-0.1616	0.8887	-0.6416	-1.3444	-0.2715	-0.6599	1.7744	-1.4008	-0.9883	0.7760	4.0276	1.0149	0.5182	1.5344	0.7400	-0.4925	0.7733	-0.4015	0.0283	-0.6945	-0.4584	-0.4075	1.7539	-0.8633	0.3989	1.7015	-1.4042	1.4475	-0.8244	0.6746	-0.4219	-0.8646	-0.6473	0.0357	8.6705	-0.9289	-1.0132	-0.6107	0.7128	-0.0984	-0.8906	-0.2180	-0.5841	0.2985	-0.1331	0.3499	-0.5079	-0.3020	1.3850	0.1721	-0.4803	-1.0310	-0.8316	0.0975	2.1215	1.4827	1.6819	-0.8804	-0.8036	0.4561	0.3477	2.2196	0.1327	0.2000	-0.6176	0.6532	0.7213	-0.8524	1.0041	-0.4902	-0.9796	-0.7961	-0.9043	0.0438	0.9619	-0.0360	-0.6744	-0.4560	-0.7607	-0.4930	0.5916	-0.4670	0.5093	0.0073	-0.1380	-0.2417	0.1456	1.4036	-1.0551	-0.5949	2.0930	-0.4039	-0.3564	0.4551	-0.6519	-1.0163	-0.6133	-0.3111	-0.1587	-1.1706	0.5963	-1.1496	1.9427	-0.7782	0.0175	0.4295	-1.1705	0.4438	-0.8019	-0.9554	0.4135	0.0115	-0.3308	-0.7528	-0.1158	-0.9286	-0.9193	1.5039	-0.7867	-0.9102	-1.0739	-0.5645	1.5152	
64105	CENPK	-1.3210	-0.3491	-0.9427	-0.6752	2.2794	-0.6150	0.1941	2.2070	-0.8198	1.5760	-0.1731	-0.1106	-0.5481	-0.7143	-0.0498	0.6967	-1.4707	-0.0648	-0.5375	-0.6637	1.4563	-1.4564	0.1990	0.2940	0.2185	1.7786	-0.6481	0.3606	-0.5134	-0.7072	0.1246	0.6407	1.6050	-0.3771	-0.8048	-0.2472	-0.1805	-0.9713	-0.0246	-0.4326	-0.6516	-0.3244	-1.0403	0.0113	-0.1605	0.9747	1.1717	-1.1088	-0.8394	0.7290	-0.6463	-0.3321	1.3535	0.2420	0.0876	-1.5051	-0.7059	0.5326	-0.4422	-1.4574	0.5351	-0.4139	0.6896	-1.1790	-1.0269	-0.2805	4.0069	1.7146	0.1371	0.1678	-0.2350	-0.3695	1.3360	-0.6829	-0.3726	-0.5612	-0.0402	-0.5938	-0.6953	-0.8011	1.0703	0.9750	-1.4784	0.9874	-0.8780	-0.3527	-0.0831	-0.9806	-0.0891	-0.9392	1.5998	0.3390	-1.0504	-0.5172	-0.5395	0.1706	-1.0031	-0.0486	0.6752	0.3134	-0.3273	-0.4686	-0.7393	-0.5115	0.3184	-0.2782	-0.2497	-1.1652	-0.0842	0.5362	3.8190	3.2252	-1.4183	-0.4249	-0.7548	0.5912	0.1165	-0.2760	-0.3267	-0.4809	-0.2850	-0.5053	-0.2360	-0.9689	2.6275	1.0101	-0.5259	-1.1348	0.3883	-0.1086	0.4423	-0.1087	-0.6198	0.7040	-0.0264	-0.5997	-0.3394	-0.8444	1.0401	-1.2519	0.3027	-0.2228	0.1960	2.4985	-1.1964	-0.0023	1.9787	-0.4864	1.8858	0.3366	-0.4165	-1.1191	-0.5734	1.4595	1.4665	-1.4373	0.0044	-1.1206	0.3134	-0.4168	-0.6316	-0.4427	-0.7834	1.9445	0.0987	-1.1308	2.7627	-0.3365	0.5691	0.1998	-0.5887	-1.2084	-0.2802	1.4409	-0.9622	-1.3684	-0.9370	0.2500	0.6706	
91687	CENPL	-0.9899	0.0174	-1.1107	-0.4543	-0.1333	-0.6747	-0.2660	1.8782	0.2987	-0.4097	1.8981	0.1679	-0.4670	2.2000	-0.8382	0.7088	-1.5021	-1.1843	1.8939	1.2573	0.2506	-1.8783	0.0841	-0.1286	0.4877	2.2538	0.2638	-0.1128	0.8903	-1.2998	-0.5072	1.6629	1.0333	1.5091	-0.8257	-1.0497	-0.5894	0.3639	0.9100	0.6796	-0.7364	-0.5941	-1.1272	-0.5287	2.9845	1.9051	2.2245	-0.5178	1.8695	1.1009	-0.9095	0.7542	1.1793	-0.1330	1.0219	-1.8516	-0.4670	1.5376	0.6673	-2.2288	-0.2319	0.9388	0.0742	-1.9773	-1.1324	-0.2950	1.3921	0.7557	1.7056	2.0995	1.3132	-0.2016	0.3986	-0.1788	0.2038	-0.4211	-0.0511	0.5310	3.9436	-0.0865	-1.0847	0.7625	-1.8378	0.7855	-0.5810	0.1880	-0.2406	0.4463	0.4556	-0.5467	4.9476	-0.2421	-0.2274	0.2175	1.1194	1.7544	-1.1031	-1.1421	-0.0554	-1.1114	1.4164	1.4420	0.7912	-1.9089	-0.3875	0.5207	0.0278	0.1451	-0.9312	2.2142	1.1244	1.2877	0.8263	-0.4100	1.1013	1.1367	-0.1344	1.4486	3.5516	0.9439	0.2622	0.3798	3.9272	-0.7443	4.3055	-0.3572	-0.1273	-0.5084	1.3344	2.2734	0.1501	-0.1089	0.7733	2.3662	1.5477	-1.1711	1.5740	-0.6646	0.2999	-1.3407	-0.3263	0.5799	-0.1694	3.8254	-1.2633	-0.9860	1.8333	-0.2917	-0.4925	-0.6125	1.8683	-0.4850	-0.0480	-0.3650	0.6127	-1.2526	2.6363	-0.5153	1.8902	-0.3043	0.9515	0.3524	-1.1035	1.3505	-0.7021	-0.5224	1.7985	0.8054	0.5062	0.7504	-0.0109	-0.2879	-1.1355	1.1109	-0.2629	-0.2302	-1.6360	-0.3925	-0.0818	
79019	CENPM	-0.7360	-0.4717	-0.2806	-0.0319	0.0122	0.5623	0.0279	0.4607	-0.4660	-0.0700	-0.3938	0.2835	-0.3454	-0.0621	-0.6086	-0.3858	-0.7952	2.5524	0.5352	-0.2412	-0.3336	-0.7870	-0.0576	-0.1961	0.1506	-0.0465	-0.3252	-0.4191	-0.6178	-0.2453	-0.3025	1.3654	0.2845	2.4762	-0.2223	-0.3955	0.0119	0.1151	1.2677	-0.6813	-0.4165	0.3532	0.8570	-0.3333	2.5069	0.8099	-0.0892	-0.5424	-0.5105	-0.3618	-0.7148	-0.3670	0.1928	0.3974	-0.4573	-0.8235	-0.5237	0.1442	-0.5115	-0.6822	-0.3203	-0.5792	-0.1835	-0.1790	-0.6657	-0.5623	0.8142	-0.0534	0.2946	-0.2769	0.1115	-0.3044	0.0739	-0.3131	-0.3245	-0.1674	-0.2515	-0.2241	-0.4223	7.9855	0.8139	-0.2299	-0.8156	0.7781	-0.4599	-0.2229	-0.4146	-0.5180	0.3110	0.4015	3.6087	0.3881	-0.7219	-0.2546	-0.3855	-0.0610	-0.2837	-0.2394	0.3018	-0.2417	-0.0388	-0.6517	-0.5747	3.4343	-0.0021	-0.1911	-0.5971	-0.6730	-0.3183	-0.3028	1.2454	0.5744	1.6753	-0.4013	-0.4209	-0.4136	0.2643	0.7437	0.0332	-0.1015	0.1060	3.6534	-0.1694	-0.4077	0.3165	-0.3440	-0.4788	-0.0531	-0.1032	-0.2498	-0.1274	-0.5089	-0.6445	-0.1188	-0.6544	0.3499	0.5102	-0.5998	0.3824	-0.2002	-0.2711	-0.4404	-0.4213	-0.1556	-0.5935	-0.2672	0.8618	-0.5632	-0.1561	-0.1787	-0.5990	-0.6628	-0.5067	0.4649	-0.3661	-0.6645	-0.1789	-0.6298	0.5057	-0.5526	-0.4145	-0.1744	-0.5425	0.0329	0.1829	-0.5815	0.2485	-0.6162	-0.5075	-0.4248	-0.0171	-0.6480	-0.2500	0.5479	-0.5732	-0.5786	-0.6553	-0.5601	0.2519	
55839	CENPN	-0.4600	-0.0637	-0.5560	-0.1745	1.0267	0.0358	-0.4484	1.7656	-0.6461	-0.6990	0.1483	-1.5762	-0.2590	1.1148	-0.9034	2.3015	-1.2333	0.9949	0.5363	-0.3949	0.6606	-1.3496	2.8886	-0.2581	0.4773	0.1560	-0.2427	-0.0790	-0.0206	-0.5510	-0.3047	-0.1628	1.0798	6.1691	-0.4877	-0.2254	0.8241	-0.0415	1.5777	0.1307	-0.9217	0.0559	-0.3222	0.1551	1.8193	-0.1223	2.4824	-1.0453	-0.1163	0.6216	-0.8850	-0.3900	0.9251	0.6494	-0.0340	-1.5499	-0.5420	0.9278	0.0197	-1.2264	-0.4548	-1.0318	0.5843	-1.6385	-0.9969	-0.3253	0.4341	1.9703	0.1791	1.6529	0.4207	-0.9720	0.2346	-0.4826	-0.1616	-0.6310	-1.1901	-0.2090	0.6198	-0.3282	0.2839	0.8802	-1.6269	1.0142	-0.7887	1.7719	0.4491	-0.2334	-0.2016	-0.2497	8.6133	-0.6411	0.2851	-0.1596	-0.6093	0.0442	-1.0693	-0.1063	0.1180	-0.6112	-0.0081	0.0021	-1.1301	1.0818	1.4245	0.9798	-0.7368	-0.5989	-1.0056	-0.3978	2.5395	1.8374	0.9159	-0.5140	-0.5773	1.0325	0.2083	2.1394	0.9220	-0.5145	-0.6802	1.8056	0.5090	-0.7443	1.5181	0.1358	-0.5771	-0.5909	-0.0973	-0.1364	1.7901	-0.5734	0.1341	0.0993	0.0750	-1.1553	-0.1648	-0.9629	-0.0261	0.0983	0.1676	-0.4224	0.1042	1.6876	-1.7258	-0.1027	0.2326	-0.5953	-0.5295	0.2805	-0.1615	-0.0973	-1.1116	-0.2225	0.8251	-1.4536	0.8776	-0.3248	2.6325	-0.2575	0.7903	0.0419	-0.9498	0.3933	-0.3981	-0.9295	0.5584	0.9569	0.0105	-1.0341	-0.5134	-0.1892	-0.7654	2.4804	-0.6915	-0.8119	-1.6986	-0.2067	0.0949	
79682	CENPU	-1.3183	-0.8385	-0.3774	-0.4923	1.3980	0.5794	0.9173	1.7681	0.3624	-0.2921	-0.3117	0.2810	-0.0181	-1.1205	-0.4810	1.1294	-1.3515	1.3314	-0.0541	0.8302	-0.1431	-1.2466	0.6208	-0.2392	-0.2212	-0.8306	-0.5997	-0.3027	-0.9570	0.1426	-0.5136	1.0976	0.7989	1.0876	-0.5220	-0.8200	-0.4812	-0.6532	0.2970	-0.7430	-0.5752	-0.6932	0.3500	-0.0586	3.3363	0.5481	0.7037	-1.0136	0.4933	-0.2374	-0.6332	0.8046	0.7329	0.0214	-0.8419	-1.4408	-0.3320	0.9942	-0.7549	-1.1189	-0.3742	-1.2213	0.4180	-0.8370	-1.0738	-0.2919	1.7282	1.2582	0.1992	1.1770	0.2430	-0.6477	0.3785	-0.5410	-0.9570	-0.2295	-0.9543	-0.5970	-0.0173	-0.9636	1.1070	0.0662	-1.3290	0.8461	-0.3725	-0.0256	0.1972	-0.5766	-0.4205	0.2389	5.0408	0.2641	-1.2511	-0.5752	0.0484	-0.4446	-0.3980	-0.7920	1.2304	-0.3330	-0.0269	-0.3381	-0.9443	0.3852	-0.6497	0.4144	-0.0644	-1.3001	-0.8248	-1.0152	4.1188	1.1605	-1.0619	-0.7410	-0.9177	1.1490	1.2711	1.0381	1.5142	-0.7462	-0.0415	-0.8621	1.2163	-0.7001	0.9023	-0.4152	-0.8429	-0.2128	-0.9662	0.0274	-0.0225	0.1917	-0.9360	0.5443	-0.4746	0.3420	1.1481	0.1412	0.3667	-0.2169	0.2749	-0.8533	-0.4610	1.4436	-1.1765	0.4988	0.8762	-0.0512	-0.2398	0.3118	-0.9451	-1.1947	-0.6007	0.3717	-0.0636	-1.1489	0.3663	-1.1486	0.1049	-0.6851	0.3652	0.5511	-0.5802	0.1780	0.2999	-0.7443	1.7781	-0.8949	-0.1773	-0.3451	-0.1438	-1.0736	-0.6787	1.7996	-0.9420	-0.8537	-0.9179	-0.3183	1.2650	
387103	CENPW	-0.6142	-0.6223	0.2921	-0.3111	0.4441	0.1547	-0.1774	0.1052	-0.2525	0.1983	-0.6235	-0.3850	-0.0280	-0.2336	-0.7798	-0.0880	-1.0356	1.7109	-0.5176	-0.2832	-0.5651	-0.8805	0.1184	0.0217	-0.2567	-0.1296	-0.3294	0.0733	-0.6186	0.2704	-0.3484	-0.3901	-0.4608	6.7161	0.1277	-0.5485	-0.3394	-0.4670	-0.0367	-0.5250	-0.6847	-0.1190	-0.1924	-0.3027	-0.3094	-0.0654	0.5337	-0.7402	-0.3923	0.2869	-0.6354	-0.5330	0.2494	0.6364	-0.3345	-1.0654	0.0708	-0.1735	-0.4632	-0.7845	0.5620	-0.5690	0.1528	-0.8285	-0.9141	-0.3991	0.3818	0.3910	0.3372	-0.3331	-0.2196	-0.1099	-0.3389	-0.6634	-0.2538	-0.5127	-0.7506	-0.6211	-0.1088	-0.2536	0.2123	2.7107	-0.9187	0.8296	-0.7686	0.1462	-0.2184	-0.6683	-0.2231	0.0333	4.3593	0.3197	-0.0427	-0.4647	-0.4836	0.0102	-0.6070	-0.5207	-0.3165	-0.4550	-0.4880	1.4601	-0.5789	0.3183	0.4540	0.4134	-0.4090	-0.7391	-0.4684	-0.4852	0.3963	-0.0559	0.4249	-0.6795	-0.6633	-0.5363	-0.1823	0.1725	0.8774	-0.7254	0.1555	0.6806	0.0667	-0.0942	1.4415	-0.5787	-0.6430	0.3763	-0.7289	0.2000	1.0360	-0.3376	-0.5296	-0.1002	-0.1633	0.0375	0.2894	-0.7137	-0.1174	0.1966	-0.2125	0.2873	1.0062	0.3578	-0.3134	0.1034	1.2685	-0.5986	-0.3549	-0.3309	-0.1423	-0.6672	-0.5569	0.1435	-0.1741	-0.8245	0.3377	-0.6665	0.2612	-0.1897	-0.3101	-0.1191	-0.5271	0.6878	-0.5371	-0.5211	-0.3134	-0.5183	-0.5627	-0.7218	-0.5091	-0.4740	-0.3763	1.2058	-0.6594	-0.8081	-0.8351	-0.1506	0.3137	
55355	HJURP	-1.4436	0.0324	-0.6936	-0.4163	1.8851	-0.4725	0.6350	2.9333	-0.9839	1.0458	-0.0082	-0.0083	-0.7966	-0.2864	-0.7432	0.8519	-1.5531	0.5359	0.0765	-0.3603	1.9091	-1.5019	1.9639	0.0427	-0.2498	0.2921	-0.8943	-0.2683	-1.0377	-0.5830	0.1148	1.8131	2.3109	3.6228	-0.6078	-1.1347	0.4245	-0.0309	0.6941	-0.1084	-0.4267	-0.7040	-0.3675	-0.8175	1.9864	0.4392	4.8422	-1.2076	-0.2966	0.6040	-1.2635	-0.2422	0.4837	0.9404	0.1580	-1.5535	-0.1779	0.1569	-0.5356	-1.5292	-0.3019	-0.8542	0.7384	-1.5290	-0.9464	0.0556	2.3215	1.4210	0.5147	0.5924	0.3612	-0.6673	0.0692	-0.2571	-0.3707	-0.4938	0.5839	-0.4423	1.4102	-0.6516	0.5025	1.9320	-1.5347	0.8004	-0.3297	1.2623	-0.2448	-1.0130	-0.5809	-0.3926	2.5525	-0.4758	-1.2791	-0.7698	0.5114	0.4379	-0.9499	-0.1931	0.2317	-0.2138	-0.0464	0.7738	-0.3523	1.0075	-0.3218	-0.3309	-0.3342	-1.1660	-0.7677	0.9288	0.9323	1.9602	0.1450	-0.7590	-0.7997	0.4158	0.1487	1.7302	1.4248	0.1163	-0.3535	0.9387	1.5625	-1.1805	0.5328	-0.6258	-0.2647	-0.6002	-0.0870	0.7081	0.7362	0.4418	-0.5362	-0.0147	-0.7145	-0.4041	0.9232	-1.1227	0.2443	-0.9014	0.9442	0.3924	0.5084	4.2649	-1.2783	0.7058	0.9282	-0.3550	-0.1427	1.7724	0.8470	-1.2116	-0.3601	1.0814	-0.1954	-1.4964	0.6721	-1.2251	2.2818	-0.3654	-0.3753	0.0491	-1.1270	0.9377	-0.2033	-1.2544	0.9614	0.1371	-0.1861	-0.7139	-0.0995	-1.1392	-0.5812	1.6437	-0.8969	-0.9971	-1.3037	-1.0966	2.1533	
10403	NDC80	-0.8438	-0.5455	-0.8072	-0.1051	1.9374	0.4541	0.0674	2.6927	-0.7609	-0.6069	0.5511	-0.0175	-0.8121	0.7731	-0.6690	1.4821	-1.7608	0.2365	0.2563	-0.0608	0.9777	-1.6942	0.4541	-0.6033	-1.0500	-0.2383	-0.6143	0.3891	-0.4302	-0.3737	-0.0182	2.1082	0.7617	0.4870	-0.1699	-0.9616	-0.3885	0.0925	1.0882	-0.3014	-0.4825	-0.6080	-0.4480	-0.0398	1.6496	0.9344	3.5834	-1.3204	-0.3135	0.9940	-0.7678	0.1162	1.2440	-0.0066	-0.4699	-1.7812	-0.4347	0.5827	-0.1924	-1.7833	-0.2807	-0.9875	1.4074	-1.1550	-1.1811	0.1605	2.1144	2.5863	0.3262	0.5553	-0.1558	-0.1466	-0.2470	-0.9602	-0.2578	-0.5428	-0.9921	0.0193	5.4467	-0.8011	0.1212	0.9373	-1.7792	0.3122	-0.7068	0.1291	-0.2991	-0.5544	0.2628	-0.4449	2.5479	0.0446	-0.0617	-0.5403	-0.8038	1.8643	-0.8902	1.7896	0.3007	0.1559	0.4950	-0.8221	0.3475	-0.2710	-0.0333	2.2294	-0.6989	-0.9618	-1.1303	3.2878	15.0745	2.7931	-0.8623	-0.6952	-0.4405	2.1884	-0.1843	4.1454	0.4428	-1.0035	-0.3602	0.3880	3.6294	-1.0840	1.4435	-0.2562	-0.3460	-0.2469	1.6101	-0.4154	-0.1812	-0.4371	-0.3149	0.0592	-0.2722	-0.1876	0.9344	-0.0477	0.4641	-0.7135	0.4033	-0.5047	0.9562	1.6275	-1.2617	0.8815	1.2789	-0.5639	0.0471	0.8881	-0.9236	-1.0300	-0.4414	2.6397	0.4508	-1.5364	1.2952	-1.1304	3.5038	-0.9012	0.2333	-0.9100	-0.7746	3.3734	-0.7529	-0.9403	0.7029	0.6536	-0.3594	-0.8381	0.0402	-1.0777	-0.1634	0.8486	-0.0119	-0.7064	-1.4212	0.0290	0.5860	
83540	NUF2	-1.4582	-0.1972	-0.8616	-0.3402	0.7250	-0.0068	1.6011	3.2506	-0.4877	0.9883	0.8738	0.6450	-0.9049	-0.0991	-0.6498	0.8621	-1.4963	0.6907	0.3650	0.6488	1.8139	-1.3437	0.0381	0.4659	0.1044	1.8522	-0.7125	-0.1097	-0.2580	-0.5812	-0.2527	3.1493	2.1566	3.0462	-0.4905	-0.8414	1.8199	-0.9049	1.1898	-0.6821	-0.3565	-0.7859	-0.4900	-0.6917	2.0003	1.9492	2.7718	-1.0833	-0.1065	1.6842	-1.1767	-0.1683	0.4263	1.0571	0.7565	-1.4769	-0.4276	0.4633	-0.1155	-1.3616	0.4363	-0.0336	1.7765	-1.4629	-1.0766	-0.3597	3.1880	2.1345	0.7553	0.8532	1.1122	-0.3206	0.3044	0.1158	-0.0130	-0.6622	-0.1828	-0.5784	2.3920	2.0710	0.5202	1.4246	-1.1174	1.4046	-0.3226	1.2346	-0.8292	-1.0586	-0.1648	0.4183	2.7117	-0.3628	-1.1640	-0.4235	0.0417	2.3110	-0.9030	-0.3251	0.0084	0.0779	0.4281	1.1511	0.2055	0.4317	1.0230	0.3073	0.0818	-1.0037	-0.6947	1.3116	3.3651	0.7556	0.7127	-0.2528	-0.4982	0.3678	0.1683	1.4216	2.7958	1.4217	-0.3615	1.4845	3.4492	-0.4910	1.7578	-0.7765	-0.7299	-0.3969	0.0881	1.9812	0.6281	0.2477	-0.4111	1.6490	-0.2059	-0.1051	1.8081	-0.3753	0.1957	-0.6191	0.8170	0.0137	-0.2605	1.3197	-1.3266	0.2538	0.9926	-0.0594	0.9490	-0.3456	0.9985	-1.0782	-0.4522	1.1907	0.5158	-1.2391	1.4214	-1.1380	2.4927	0.5661	0.1323	0.3080	-0.8393	3.2783	0.1818	-1.2260	2.0435	-0.4282	0.0908	-0.3585	-0.5317	-1.1456	-0.4236	1.2455	-0.8348	-0.9004	-1.2205	-0.9651	0.7695	
