GENE_ID	COMMON	TCGA-DI-A1BU-01	TCGA-EY-A1GX-01	TCGA-AX-A2IN-01	TCGA-EO-A22U-01	TCGA-AX-A3FZ-01	TCGA-JU-AAVI-01	TCGA-EO-A3AV-01	TCGA-BK-A13B-01	TCGA-AJ-A3QS-01	TCGA-4E-A92E-01	TCGA-KP-A3W4-01	TCGA-AJ-A2QM-01	TCGA-AX-A3G3-01	TCGA-BK-A4ZD-01	TCGA-EY-A547-01	TCGA-QS-A5YR-01	TCGA-B5-A3FD-01	TCGA-5B-A90C-01	TCGA-AJ-A3NF-01	TCGA-A5-A7WK-01	TCGA-A5-A3LO-01	TCGA-EO-A3KW-01	TCGA-DF-A2KV-01	TCGA-AJ-A3BG-01	TCGA-D1-A3DG-01	TCGA-EY-A2OQ-01	TCGA-QF-A5YS-01	TCGA-EO-A22X-01	TCGA-FI-A3PX-01	TCGA-EO-A3L0-01	TCGA-AJ-A3EL-01	TCGA-AJ-A3OJ-01	TCGA-PG-A7D5-01	TCGA-DI-A1C3-01	TCGA-EO-A3AS-01	TCGA-AJ-A23N-01	TCGA-AJ-A3TW-01	TCGA-B5-A5OD-01	TCGA-SJ-A6ZI-01	TCGA-AX-A3FW-01	TCGA-AX-A3G8-01	TCGA-DF-A2KN-01	TCGA-AP-A3K1-01	TCGA-KJ-A3U4-01	TCGA-BK-A6W3-01	TCGA-QF-A5YT-01	TCGA-DF-A2KY-01	TCGA-D1-A3DH-01	TCGA-AJ-A3BD-01	TCGA-AJ-A3OK-01	TCGA-EO-A3B1-01	TCGA-D1-A3JQ-01	TCGA-AJ-A6NU-01	TCGA-B5-A5OE-01	TCGA-AX-A3FT-01	TCGA-A5-A2K3-01	TCGA-B5-A0JN-01	TCGA-DI-A2QT-01	TCGA-AP-A5FX-01	TCGA-EY-A1GO-01	TCGA-DI-A2QY-01	TCGA-AJ-A3I9-01	TCGA-QS-A8F1-01	TCGA-B5-A3F9-01	TCGA-2E-A9G8-01	TCGA-PG-A917-01	TCGA-AJ-A3BI-01	TCGA-EY-A2OO-01	TCGA-AJ-A3EJ-01	TCGA-EO-A3AU-01	TCGA-B5-A11R-01	TCGA-BG-A3PP-01	TCGA-AX-A1C7-01	TCGA-AJ-A3IA-01	TCGA-B5-A1MS-01	TCGA-PG-A914-01	TCGA-B5-A3FA-01	TCGA-AX-A2H4-01	TCGA-AJ-A3NG-01	TCGA-AJ-A5DW-01	TCGA-AX-A3GB-01	TCGA-EY-A1GL-01	TCGA-EO-A1Y7-01	TCGA-SL-A6JA-01	TCGA-EY-A2OP-01	TCGA-EO-A22Y-01	TCGA-AJ-A3BF-01	TCGA-A5-A2K4-01	TCGA-AJ-A3EM-01	TCGA-AJ-A8CV-01	TCGA-AX-A05W-01	TCGA-EO-A3AZ-01	TCGA-B5-A5OC-01	TCGA-B5-A3FH-01	TCGA-AJ-A3OL-01	TCGA-AX-A3G7-01	TCGA-AX-A3FV-01	TCGA-KP-A3W0-01	TCGA-SL-A6J9-01	TCGA-PG-A915-01	TCGA-FI-A2EY-01	TCGA-SJ-A6ZJ-01	TCGA-DF-A2L0-01	TCGA-EY-A3L3-01	TCGA-AJ-A3BK-01	TCGA-A5-A7WJ-01	TCGA-B5-A0K9-01	TCGA-DF-A2KR-01	TCGA-DF-A2KZ-01	TCGA-A5-A2K7-01	TCGA-AJ-A2QO-01	TCGA-EO-A3B0-01	TCGA-AX-A3G1-01	TCGA-AX-A3G4-01	TCGA-AX-A3FS-01	TCGA-E6-A2P9-01	TCGA-EY-A3QX-01	TCGA-KP-A3W3-01	TCGA-EY-A548-01	TCGA-KP-A3VZ-01	TCGA-A5-AB3J-01	TCGA-EY-A72D-01	TCGA-BS-A0V4-01	TCGA-AJ-A3NE-01	TCGA-B5-A3FC-01	TCGA-PG-A5BC-01	TCGA-DF-A2KU-01	TCGA-EY-A210-01	TCGA-AJ-A3BH-01	TCGA-EO-A3KX-01	TCGA-BK-A139-02	TCGA-A5-A3LP-01	TCGA-QS-A744-01	TCGA-B5-A1MW-01	TCGA-EY-A5W2-01	TCGA-PG-A916-01	TCGA-AJ-A3EK-01	TCGA-B5-A3S1-01	TCGA-AJ-A8CT-01	TCGA-EY-A4KR-01	TCGA-BS-A0V7-01	TCGA-A5-A1OH-01	TCGA-B5-A0JR-01	TCGA-E6-A2P8-01	TCGA-5S-A9Q8-01	TCGA-AJ-A5DV-01	TCGA-AX-A3FX-01	TCGA-AX-A3G9-01	TCGA-EY-A549-01	TCGA-AJ-A3NH-01	TCGA-D1-A3DA-01	TCGA-D1-A2G0-01	TCGA-B5-A3FB-01	TCGA-PG-A6IB-01	TCGA-AX-A3GI-01	TCGA-EO-A3KU-01	TCGA-BK-A6W4-01	TCGA-EO-A3AY-01	TCGA-EY-A54A-01	TCGA-AX-A2HH-01	TCGA-K6-A3WQ-01	TCGA-A5-A2K5-01	TCGA-H5-A2HR-01	TCGA-AJ-A8CW-01	TCGA-D1-A3JP-01	TCGA-BG-A0MK-01	TCGA-A5-A2K2-01	TCGA-AX-A3G6-01	TCGA-BK-A56F-01	TCGA-EY-A2ON-01	TCGA-KP-A3W1-01	TCGA-FI-A3PV-01	TCGA-QS-A5YQ-01	TCGA-BG-A3EW-01	TCGA-EY-A1GP-01	TCGA-AJ-A3NC-01	TCGA-E6-A8L9-01	
1058	CENPA	0.1976	-1.1158	1.4505	0.0292	1.3421	2.1762	-0.6955	-1.0637	0.4484	-1.0867	-0.3332	1.7384	-0.3435	0.4053	4.6318	-0.3403	-0.0745	1.6536	0.8250	0.6629	0.6379	2.3251	-0.1038	-0.3200	2.4189	0.9543	-0.9309	0.2499	3.4959	0.1386	1.4244	-0.5476	1.1675	-0.9349	-0.7724	2.3379	4.4734	-0.2377	-0.1425	1.1179	0.7071	-0.2090	0.8381	0.9267	-0.4173	-0.0075	0.2353	0.9360	1.3413	-1.3845	1.2736	0.4879	-0.5000	2.6574	0.1332	0.5991	0.1178	-0.2029	0.5305	-0.2122	2.3513	0.8537	1.3845	-0.2950	2.1931	-0.8578	2.6358	-1.2408	-0.0422	-0.2939	-0.3834	1.0809	1.6550	1.5411	-0.0137	-0.2324	-0.8717	0.2430	-0.1951	0.1762	-1.3514	-1.4326	2.1240	-0.7304	-0.3567	-0.9057	-0.2783	0.1485	1.9564	-0.2721	-0.1912	-0.1556	-0.8475	-0.9495	0.0319	-0.8759	3.7767	-0.3975	1.3447	2.0586	0.4076	-0.4680	-0.4691	-0.1915	1.2339	0.3909	0.2593	-0.8585	-1.2288	1.1116	-0.4819	-0.1968	1.3676	0.5676	1.2907	-0.5893	0.7301	0.7219	-0.7386	2.1944	-1.2297	0.8367	-1.1890	-0.3603	1.1670	1.7035	0.7264	0.4233	-0.5207	0.4220	1.9807	-0.3087	-0.1212	-0.0684	0.3569	-0.9199	0.7695	-0.2211	-1.3451	1.9226	-1.3671	1.8969	0.0763	-0.1290	-0.9593	-0.3843	1.4335	0.3106	-1.0438	1.2134	-1.1543	0.2189	-0.5165	1.4471	0.8785	0.0603	-0.9759	0.5548	0.8118	0.5198	-0.0794	0.1179	-0.1312	-0.6852	-0.7455	-1.3440	0.1760	4.4355	-0.8249	-0.6162	1.4460	1.6398	-0.8209	-0.6394	-0.8142	-0.8708	1.0802	
64105	CENPK	0.9859	-0.5610	1.9244	0.8553	1.2010	-0.7569	0.3500	-1.0012	-0.1223	-0.6970	-0.2378	-0.7564	0.5356	-0.3715	-0.2946	-0.1253	1.6882	0.3644	-0.6482	-0.1315	1.0472	1.6080	-0.5266	-1.1367	1.4501	-0.4997	0.1267	0.0038	0.4127	0.3317	2.5175	-0.5319	0.7632	-0.8425	-1.1850	1.1834	-0.2829	-0.9233	-0.0709	1.9911	-1.2651	0.2046	-0.8806	-0.7636	0.2007	-0.1211	-0.6496	0.2688	-1.1126	-1.4042	-0.0206	1.2710	-0.4637	-1.1953	1.2911	-0.9440	-0.1703	-0.7799	0.6458	0.5742	-1.0092	3.8869	-1.6091	0.4180	0.2277	2.6001	-1.2923	-0.7475	-0.4400	0.3890	-0.0344	-0.8326	-1.2360	-1.2515	0.0278	-0.6059	-0.7681	-0.8039	0.8326	1.4924	-1.0409	-1.4802	-0.3869	-0.9307	-0.2926	-0.7987	0.1194	-0.0635	0.3233	0.4431	-0.8833	-1.6239	-0.0229	-0.9288	1.5123	-1.1576	0.2364	-0.2395	-0.5970	0.0552	-1.3130	0.0519	-1.5137	-0.1218	1.0657	0.4175	-0.0667	-1.4691	-1.3123	0.3419	-0.6405	1.4102	0.8018	0.8405	1.1732	-0.0041	0.6924	-1.0926	-0.1845	0.8863	-1.0279	0.1691	-1.5321	1.0465	1.3223	-0.0232	-1.1387	-0.8978	-0.4844	0.8249	1.7970	-1.0512	0.1338	-0.0258	-0.6567	0.1368	4.2044	0.1277	-0.2008	0.8699	-1.4830	0.8447	-0.2617	0.7144	-1.2022	1.6581	1.3605	1.3475	0.6361	-0.1246	-0.9422	-0.3940	0.7358	1.0336	-0.4924	1.2621	-0.1793	-0.9346	0.2941	-0.6742	-0.3035	-1.4138	-0.7672	0.3751	-1.0460	-0.7369	0.0905	0.1123	0.8959	-1.0178	-1.0796	-0.7764	-0.3460	-0.2731	-0.4857	-0.5414	-0.9256	
91687	CENPL	0.2309	-0.7379	1.3261	0.1949	1.2560	-0.5953	-0.6236	-0.7937	1.0017	0.3565	0.2914	3.8598	0.0127	-0.1488	1.3066	-0.9675	0.4159	3.2107	1.3497	2.8674	1.1826	2.0823	-0.8044	-0.4276	0.2635	1.1187	-1.0983	1.4918	2.8631	0.1637	1.1797	-0.7688	0.6782	-1.0877	0.8614	1.8620	1.3363	0.0122	0.1121	0.2071	1.4410	-0.1242	0.4838	1.7352	0.2822	-0.8861	-0.3170	0.1891	0.1435	-1.5360	-0.3979	0.8037	-0.1056	0.6247	0.3238	0.0304	2.4501	0.5718	0.6866	1.0699	0.1272	0.8273	0.0103	-0.9747	0.7875	-0.4134	-0.7050	0.8773	0.6987	-0.3279	1.5760	0.4522	0.2417	2.2251	0.9494	-0.7108	-0.6473	-1.0489	1.3329	0.0998	-1.1154	-1.6998	1.6856	-0.5041	0.8042	0.3289	0.4411	0.4363	5.3032	-0.8217	0.3467	-0.9584	0.7833	1.2023	1.6604	-0.7330	3.1452	0.2435	0.5935	0.0062	1.4025	-1.2402	-1.2144	3.5164	-0.8623	4.3319	1.3203	-1.0044	-0.7642	0.4913	-0.0780	0.9029	1.4201	1.2571	2.0292	2.4002	1.3206	1.2038	-1.0236	2.9293	-0.6920	-0.7147	-1.4400	-0.3032	-0.5940	0.3276	0.2655	-0.4548	-0.5240	0.6365	2.5365	-0.2784	0.6649	0.5870	0.0803	-1.1949	0.9207	0.3965	-1.5397	1.0607	-1.3593	1.2238	2.6082	-0.1431	-1.0019	-0.6362	0.7196	-0.1287	-0.3618	2.6039	0.7220	-0.1776	-0.6259	-0.1138	3.6691	0.1189	-0.6275	-0.7718	0.9693	1.0336	-0.0611	-0.9138	0.4884	1.7210	-0.8539	-1.4698	0.4835	4.4343	-1.0226	-0.3349	0.2446	0.9379	-1.2605	2.5226	1.0456	0.3486	0.4993	
79019	CENPM	0.3006	-0.4490	1.1732	0.5252	0.1233	-0.8716	1.5063	-0.8295	-0.8644	-1.2080	-1.1594	-0.3673	-0.4982	-0.7990	1.5583	1.2963	-0.0915	-0.5075	-0.5921	-0.8204	-0.9439	-0.3832	0.3620	0.8501	0.6454	-0.7052	-0.0167	0.1964	-0.4002	1.5242	0.9002	-0.4194	-0.8645	-0.8124	-0.7039	-1.0772	-0.3008	-0.9643	-0.7239	-0.7484	2.2757	0.0350	1.7074	-0.9418	-0.8231	0.6293	0.5668	-0.3504	1.1489	-0.4526	-0.3609	-1.1180	-1.0902	1.1284	-0.1315	1.0708	-0.3988	-0.5510	-0.4272	0.2056	-0.4858	0.1007	0.6958	-0.6118	-0.6559	-1.0145	3.3192	-1.2684	-1.2264	-0.3458	0.6175	-0.8508	0.7862	-0.4092	-1.1597	-0.6098	-0.6563	-0.5865	-0.5941	-0.8087	-0.3254	-0.7454	0.1778	0.3531	-0.4982	-0.8101	-0.6993	-0.6468	2.6702	0.6302	0.3578	0.7962	-0.8578	-1.0504	-0.3935	-0.9123	0.3678	-0.8491	0.0144	-1.2471	0.9708	1.6611	1.5286	-1.0238	1.4859	0.3349	-0.6648	-1.1938	-0.8085	2.1797	-0.1412	-0.5163	-0.6981	-0.1922	-0.2179	-0.3576	-0.9163	-1.1146	-0.8707	-0.5475	-1.1119	-0.4240	-0.0216	-0.6648	0.1396	-0.8353	1.8694	-1.1379	-0.5146	-0.0310	-0.1708	-1.3065	-0.7326	-0.3477	2.2106	-0.3621	0.3944	-0.9788	-0.3078	-0.4834	-1.3384	-0.5566	0.2009	0.0250	-0.2236	-0.5290	-0.3562	-0.0223	-0.6425	-1.1259	-1.2952	1.5490	-0.5104	3.7604	0.1275	-1.1831	-0.9444	2.8767	-0.2994	-0.9652	-1.1335	0.9585	1.8076	-0.6995	-0.9052	-0.2511	0.1938	1.1855	-0.8950	-0.4334	1.7396	0.3560	0.1229	-1.0607	-1.2113	-1.1384	-1.1448	
55839	CENPN	-0.2319	-0.9873	1.0642	1.5989	-0.1968	0.1051	1.3340	-0.5183	0.1151	-1.0018	-0.7012	-0.4209	-0.1037	-1.1668	-0.3038	-0.3015	-0.7515	0.0313	-0.8421	-0.4773	-0.5230	-0.4231	0.2033	0.1399	-0.7133	-1.1257	-1.2037	1.4728	0.2853	1.1808	2.2472	-0.1754	-0.9802	-0.6262	-0.6304	-0.4194	1.8988	-0.7081	-0.3462	-0.3795	2.4328	0.5171	-0.0530	-0.8962	-0.3518	0.6202	1.0301	-0.4035	1.1285	-1.2716	-1.0160	-0.6564	-0.7748	-0.8801	-0.2817	0.3549	0.4593	0.1064	0.5081	0.3312	-1.0240	2.3619	-0.2616	-0.9557	-0.0203	-0.6623	3.4010	-1.0875	-0.1524	0.3525	-0.7720	0.7740	-0.9467	1.1980	-1.0034	-0.9695	0.3114	-0.2676	0.0205	-0.1368	-1.4798	-1.3610	3.0841	-0.7707	-0.2814	-0.9911	-1.0350	-0.8364	1.6252	-0.6630	0.4963	0.2281	0.4735	-1.1288	-0.6066	-0.8186	1.3368	-1.1085	-0.4297	-0.7975	0.3165	-0.3361	0.7451	-0.8976	0.1472	0.2820	-0.4347	-1.1656	-0.9464	1.1533	-0.3357	1.8517	-0.0007	-0.2244	1.0850	-0.6585	-0.4959	-0.3705	-1.0213	-0.4494	-1.2280	-0.6342	-0.7351	0.3418	0.7641	3.9958	2.5784	-1.2646	-0.8563	0.2754	0.1245	-0.9463	0.3230	-0.3406	1.0444	-1.2857	1.2859	-0.8586	-1.5378	0.8662	-1.3887	0.2281	-0.0374	0.1786	-0.6819	-0.5868	0.3774	0.4791	-1.1848	-0.4798	-0.9611	0.9394	-0.5547	1.2788	-0.7185	-0.3416	-1.0082	1.0787	-0.4062	0.0378	0.1168	-0.3120	0.4368	-0.1662	-0.8701	-1.3456	-0.4237	-0.4151	-0.8786	-0.4441	0.6065	-0.7340	-0.7135	-0.5327	0.1583	-0.7913	-0.9795	
79682	CENPU	0.6307	-0.6118	2.5347	0.1067	2.2373	-0.5539	-0.4576	-0.7463	-0.7829	-0.8432	0.3285	-0.4264	-1.1673	-0.9939	1.7763	0.2614	-0.7315	-0.9578	-0.5921	-0.0143	0.3418	-0.1729	-0.1778	0.0142	0.4535	-0.2495	0.0913	-0.0659	0.1173	0.9553	0.5596	0.9346	-0.7525	-0.7065	-1.5887	-0.4847	0.3569	-1.4551	-0.5163	0.4132	0.4385	0.5228	1.7799	-0.0412	-0.5528	0.3322	-1.0278	-0.0683	0.1160	-1.1511	0.3846	0.2113	-0.9671	-1.2184	0.7610	0.2976	-0.9435	-0.8107	-0.3067	0.8049	-0.0954	1.4293	-1.2791	0.1239	0.5761	-1.1368	0.1056	-1.5857	-0.5475	0.8329	-0.6666	0.1427	-0.3214	-1.0124	-1.0110	-0.8670	-0.6832	-0.9912	1.3424	1.1166	-1.2266	-1.5375	0.5566	-0.7764	-0.3641	-0.6245	-0.4550	-0.7319	3.0835	0.2485	0.2199	-1.3197	-0.4354	-0.0415	0.9785	-0.6810	0.8841	0.3611	-0.9259	-0.7528	-0.0672	-0.6087	-0.4673	-0.9328	0.5613	-0.0652	-1.1303	-1.5072	-1.2106	1.4124	0.1442	1.8578	1.0393	-0.9834	0.1473	-0.1834	0.8307	-0.6111	-1.0320	1.2225	-1.3277	-0.7891	-1.5833	0.0393	-0.0062	-0.4732	1.2961	1.5380	-0.7175	1.7980	2.1677	-0.4964	-0.7940	-0.4848	0.5139	-0.8887	1.6084	-0.6824	-1.0652	-1.0108	-1.7472	-0.1199	0.0059	-0.4908	-1.3844	-0.5708	1.4034	0.4961	-0.6918	-0.1048	-0.8630	0.6582	-0.5321	2.7123	0.1323	-0.1354	-1.2207	-0.4317	1.7480	-0.2356	0.5236	0.3279	-1.2464	-0.8781	-0.6292	-1.6528	0.9330	1.5913	-0.4736	-0.3992	2.2629	-0.8144	-0.6659	-0.4379	-1.0847	-0.8196	0.1123	
387103	CENPW	-0.2296	-0.1975	-0.0208	-0.0261	-0.0011	-0.3847	-0.1568	-0.4135	-0.3685	-0.4532	0.5785	0.2792	-0.4523	-0.1599	0.4752	0.1379	0.1519	0.0050	-0.2687	0.7007	-0.1075	8.3405	0.1497	-0.5081	-0.0373	0.8589	-0.3239	0.1674	-0.0244	4.8668	0.2509	-0.3381	0.0245	-0.3707	-0.1539	-0.0846	0.0229	-0.4828	-0.1288	0.4437	0.2240	-0.2857	-0.0109	-0.4210	0.1088	-0.0318	-0.2607	0.1088	0.5762	-0.5702	-0.1898	-0.1551	-0.4514	-0.2344	-0.3149	0.1454	-0.3017	-0.3832	1.0969	-0.0144	0.3267	0.6098	0.1762	-0.2562	0.4171	-0.2342	1.8246	-0.5507	-0.4338	-0.4309	-0.1299	10.2130	-0.0248	-0.1052	-0.2734	-0.5396	-0.3505	-0.2307	0.1206	-0.3936	-0.5418	-0.6440	0.7250	-0.4024	-0.3534	0.0744	-0.3663	-0.2989	0.5971	-0.1003	0.1951	-0.0734	-0.4580	-0.4989	-0.3743	2.9074	-0.0381	-0.3494	0.0839	0.0658	-0.2613	-0.1203	2.4703	-0.3642	0.3118	-0.1261	-0.4019	-0.4971	-0.5060	-0.0643	-0.2381	-0.0088	3.6658	0.5197	0.0009	-0.4407	-0.0232	0.4241	-0.4871	0.0205	-0.5675	-0.4520	-0.4466	-0.3244	-0.1125	-0.0393	0.8099	-0.4251	-0.5787	-0.1031	0.3766	-0.2220	-0.4382	-0.4013	0.1242	-0.3401	-0.1501	-0.3167	-0.5631	-0.2359	-0.4410	-0.1718	-0.2041	-0.3715	-0.4807	-0.2372	0.4197	0.6890	-0.5456	-0.0296	-0.5353	-0.2064	0.2936	0.1402	-0.1611	0.3786	-0.4211	1.1362	-0.1552	-0.4409	-0.1793	0.3303	1.2923	0.0472	-0.5222	-0.5430	-0.1207	2.2835	-0.4797	-0.3007	-0.3990	-0.1905	-0.3183	-0.4620	-0.4308	-0.4194	-0.3909	
55355	HJURP	0.2503	-1.0693	1.9225	0.2536	1.9197	1.3113	0.0522	-1.0731	-0.0736	-0.9738	-0.1388	0.8727	0.4837	0.1035	0.2792	-0.5183	0.6074	1.0480	0.3948	0.9285	0.6929	0.9335	-0.1237	-0.5266	1.0357	-0.3665	-0.9443	0.2961	2.1159	0.1087	1.6134	-0.6511	-0.1959	-0.5573	-0.4818	3.2855	0.9925	-0.3158	-0.3428	0.6540	0.0079	0.1125	-0.1253	1.8787	-0.4789	-0.1034	-0.5659	0.0670	0.5996	-1.2829	0.6738	0.9568	-0.4235	-0.0170	1.0564	0.1101	1.8013	-0.0459	1.0578	0.8530	0.6232	-0.5281	-0.6614	-0.5921	0.5136	-1.0363	-0.7544	-0.9473	0.0072	-0.0163	-0.6120	0.5656	0.4633	-0.6549	0.4524	-0.4252	-0.5806	-0.4668	1.6219	-0.0132	-1.2950	-1.4183	0.6488	-0.9528	-0.4171	-0.8289	0.2951	0.0705	1.0920	-0.6129	1.1493	-0.3719	-0.5818	-0.8626	1.1895	-0.2028	5.8742	-0.5352	-0.2150	0.2587	0.9111	-0.8219	-0.8166	0.4911	0.3739	0.3559	0.1661	-0.5057	-1.1611	0.5182	-0.4983	0.3799	0.6205	1.5814	0.9353	-0.3417	0.8793	0.4946	-0.8756	2.1900	-1.1252	-0.2719	-1.1725	-0.1241	0.2236	2.2191	-0.1741	-0.2282	-0.3733	0.5669	0.1957	0.0455	-0.1059	0.5057	0.1134	-1.0005	0.8694	0.3641	-1.2474	0.9786	-1.4590	1.3739	0.9279	-0.0915	-0.8396	-0.6276	0.7953	-0.0598	-1.0674	0.1625	-1.0189	0.4791	-0.7218	0.6868	1.4794	0.6711	-0.8777	-0.6302	-0.5087	-0.0556	0.2881	-0.1506	0.9068	-0.0278	-0.5836	-1.3192	-0.3401	2.5578	-0.7764	-0.0315	0.5598	0.2480	-0.9237	-0.1995	-0.0013	-1.0121	0.6182	
10403	NDC80	0.5430	-1.2556	1.6413	0.5529	1.8677	-0.1781	1.1485	-1.1235	3.9242	-0.9947	0.2605	0.4392	1.0539	-0.7693	2.1350	-0.4778	0.8978	2.8722	2.8959	1.1561	0.8167	1.9319	-0.0737	-0.3561	1.0414	0.6539	-0.6172	0.6227	4.0479	0.0031	2.2248	-0.2865	0.3479	-0.8013	-1.2537	4.2187	1.5243	-0.0842	-0.3971	0.6462	-0.0474	-0.3529	1.3076	3.5185	-0.4414	0.1652	-0.0723	5.1328	1.4658	-1.4388	0.5025	2.1603	0.6009	2.2961	1.0335	-0.6564	0.5414	-0.0307	1.6994	-0.2329	1.4848	0.6004	-0.4881	-0.8876	6.8776	-0.9732	0.4660	-1.3520	-0.6216	-0.0725	-0.6103	0.3852	-0.4293	1.5159	1.0457	-1.0530	-0.9067	0.1280	0.9435	0.0058	-1.6138	-1.6743	1.8129	-0.7925	-0.0832	-1.0766	-1.0504	0.3905	5.2680	-0.3753	0.0651	-0.4882	-0.3041	-1.1623	0.1602	-0.1149	2.3263	-1.0912	0.5357	2.1108	2.6228	-0.7888	-0.8791	0.4858	0.5181	0.4231	-0.3080	-1.1615	-1.3782	1.2603	-0.4637	0.9571	0.4977	1.3329	1.4385	-0.3150	1.4633	1.1206	-1.0029	0.6734	-1.3732	-0.6178	-1.5440	0.1164	0.3072	3.5912	1.0032	-0.1507	-0.7509	0.0093	1.9942	-0.0028	-0.3410	0.2102	0.0587	-1.2188	0.8469	0.9341	-1.4326	1.0035	-1.8423	2.6304	0.4017	-1.0202	-1.0704	-0.4815	1.7860	0.8937	-1.2239	1.2363	-1.1692	1.3449	-0.5877	1.5842	3.3623	1.5989	-1.0558	0.0277	1.8705	-0.5391	7.1451	0.4099	1.8140	-0.0536	-0.8338	-1.5914	0.8415	3.3260	-0.9819	0.5878	0.6148	0.9458	-0.9942	-0.2929	-1.1292	-1.1191	0.4177	
83540	NUF2	0.0161	-0.6397	4.0917	0.3825	2.2711	-0.2375	-0.2576	-0.4364	0.4744	-0.5259	-0.4619	1.6678	0.1395	0.2225	-0.3320	-0.4626	0.3599	1.3018	0.1710	1.0936	-0.0880	1.4646	-0.2363	-0.4503	0.5791	0.1826	-0.6810	0.5177	3.2049	-0.1850	0.8277	-0.1232	0.0981	-0.5852	-0.4191	0.5193	2.3434	-0.3735	-0.3550	0.8281	0.7117	-0.1612	0.6828	2.1541	-0.4753	-0.2913	-0.5202	0.9069	0.3909	-1.0986	0.3986	0.0953	2.6725	0.3884	0.5579	-0.0071	0.7012	0.3862	1.9712	1.6946	0.3039	0.8925	-1.1398	-0.5321	0.6442	-0.4740	-0.5623	-0.5386	-0.0583	-0.2429	0.6871	0.9399	-0.9424	0.5698	0.5925	-0.0755	-0.4194	-0.1411	1.6104	-0.1397	-1.0673	-1.1797	1.2638	-0.6477	0.1185	0.4911	0.1490	0.2328	2.5682	-0.3055	0.2532	-0.9482	0.0431	-0.4570	0.7879	-0.2197	6.6184	0.1100	0.7406	0.2275	0.6689	-0.6721	-1.1057	2.1726	-0.2172	1.3846	0.6549	-0.8142	-0.9509	0.6498	-0.5129	1.0912	1.5546	1.0450	0.6665	0.9580	0.4120	1.0614	-0.7659	1.3206	-0.8629	-0.2889	-1.1959	-0.2750	0.0108	1.1409	-0.1599	-0.3273	-0.6382	0.6864	2.4920	-0.5146	0.6038	-0.0251	0.6163	-0.8247	0.0948	0.0154	-1.0760	0.3123	-1.2959	2.1372	1.5069	-0.4338	-0.6302	-0.3125	1.5327	0.2850	-0.5434	0.7873	-0.5337	-0.0094	-0.5051	0.3306	0.5126	0.7447	-0.7205	-0.6084	2.0131	0.5216	-0.2393	-0.5842	0.7510	1.3105	-0.9374	-1.1418	0.4167	3.7921	-0.7531	0.0802	0.1150	0.8358	-0.8142	0.1483	0.5880	-0.4236	-0.1014	
